video,embryo,t,t_next,shift_um,dz,dy,dx,gt_links,gt_median_shift_um,gt_dz,heldout
6bba_d3da753b,6bba,59,60,3.9,-2.1,0.1,-3.3,11,3.7,-1.6,False
6bba_d3da753b,6bba,62,63,3.9,-1.6,0.6,-3.4,10,3.9,-1.6,False
6bba_d3da753b,6bba,68,69,3.9,-1.8,-0.2,-3.5,9,4.6,-3.2,False
6bba_e5e44988,6bba,43,44,3.9,-0.4,3.9,-0.5,7,4.5,-1.6,False
6bba_f17befbc,6bba,29,30,3.9,-0.2,-3.7,1.0,4,6.6,-4.9,False
6bba_eebc57a5,6bba,84,85,3.9,0.1,3.9,0.6,8,3.7,0.0,False
6bba_fe670320,6bba,30,31,3.9,-0.1,3.9,-0.2,12,3.5,0.0,False
44b6_0db75fae,44b6,19,20,3.8,-0.2,2.7,2.7,1,3.9,-1.6,False
44b6_668e0cc7,44b6,4,5,3.8,0.1,3.8,-0.1,2,4.5,0.0,False
44b6_d754aa59,44b6,48,49,3.8,-0.4,-3.4,-1.5,1,5.5,-3.2,True
6bba_0c7fa718,6bba,8,9,3.8,0.1,-2.1,-3.1,11,3.8,0.0,False
6bba_0c7fa718,6bba,41,42,3.8,0.6,-1.4,-3.5,10,4.1,0.0,False
6bba_0c7fa718,6bba,81,82,3.8,1.3,-2.7,-2.3,6,2.6,0.8,False
6bba_0e7c0d07,6bba,35,36,3.8,0.3,1.4,3.5,1,4.7,1.6,False
6bba_0e7c0d07,6bba,63,64,3.8,0.1,1.9,3.2,2,4.4,1.6,False
6bba_15403b9a,6bba,49,50,3.8,-1.3,1.5,-3.2,6,4.0,-1.6,False
6bba_15403b9a,6bba,54,55,3.8,-0.3,1.9,-3.3,6,3.7,-1.6,False
6bba_1ebfb80d,6bba,9,10,3.8,0.2,3.8,0.1,5,2.9,0.0,False
6bba_1ebfb80d,6bba,14,15,3.8,-0.0,3.8,-0.3,5,3.1,-1.6,False
6bba_1ebfb80d,6bba,15,16,3.8,-0.0,-3.8,0.4,5,4.0,1.6,False
6bba_337b1b3a,6bba,22,23,3.8,0.3,3.8,0.1,1,4.5,0.0,False
6bba_3abfe10a,6bba,6,7,3.8,0.1,-0.1,3.8,0,,,True
6bba_3abfe10a,6bba,42,43,3.8,0.3,3.8,0.6,3,4.0,1.6,True
6bba_767a1e17,6bba,2,3,3.8,0.2,0.1,3.8,0,,,False
6bba_767a1e17,6bba,7,8,3.8,0.1,-0.0,3.8,0,,,False
6bba_767a1e17,6bba,33,34,3.8,0.3,2.0,3.2,0,,,False
6bba_7f87b3d8,6bba,12,13,3.8,-0.5,-0.3,-3.7,3,4.5,-1.6,False
6bba_825bd1c6,6bba,87,88,3.8,0.7,3.8,0.3,13,2.9,1.6,False
6bba_87289e13,6bba,39,40,3.8,-0.2,-2.0,-3.3,10,4.5,-1.6,False
6bba_cdcfe533,6bba,7,8,3.8,-0.4,3.7,0.5,0,,,False
6bba_cdcfe533,6bba,31,32,3.8,0.0,3.8,0.6,9,4.1,0.0,False
6bba_cff5865f,6bba,86,87,3.8,-0.3,-0.7,-3.8,15,4.2,-1.6,False
6bba_d3da753b,6bba,14,15,3.8,-0.3,-0.2,-3.8,8,4.6,-1.6,False
6bba_d3da753b,6bba,91,92,3.8,-0.5,0.7,-3.7,9,3.7,-1.6,False
6bba_eebc57a5,6bba,39,40,3.8,0.2,3.8,0.3,10,3.4,0.0,False
6bba_fe670320,6bba,32,33,3.8,-0.1,3.8,-0.1,9,3.7,0.0,False
44b6_587a1e22,44b6,2,3,3.7,3.7,0.3,0.0,0,,,False
44b6_95029e92,44b6,21,22,3.7,0.2,3.7,-0.3,2,3.3,0.0,False
44b6_97725144,44b6,2,3,3.7,-0.0,3.7,-0.0,2,5.2,-1.6,False
44b6_cf8fed6b,44b6,21,22,3.7,-0.2,3.7,0.6,2,2.3,0.0,False
44b6_d754aa59,44b6,73,74,3.7,-0.2,3.6,-0.5,1,3.7,-3.2,True
44b6_e29f0176,44b6,13,14,3.7,0.2,1.8,-3.2,0,,,False
44b6_e29f0176,44b6,18,19,3.7,0.2,1.4,-3.4,0,,,False
44b6_f28707c6,44b6,85,86,3.7,-0.2,-3.6,-0.8,0,,,False
6bba_0c7fa718,6bba,4,5,3.7,0.1,-1.3,-3.4,9,3.9,0.0,False
6bba_0c7fa718,6bba,83,84,3.7,0.1,-1.7,-3.3,5,3.2,0.0,False
6bba_0c7fa718,6bba,85,86,3.7,0.1,-0.7,-3.6,5,3.6,0.0,False
6bba_0e7c0d07,6bba,34,35,3.7,0.2,0.8,3.6,1,2.7,1.6,False
6bba_0e7c0d07,6bba,90,91,3.7,-0.0,1.4,3.4,0,,,False
6bba_0e7c0d07,6bba,91,92,3.7,0.0,1.7,3.3,0,,,False
6bba_15403b9a,6bba,53,54,3.7,-1.5,1.7,-2.9,6,3.4,-0.8,False
6bba_1ebfb80d,6bba,2,3,3.7,-0.1,3.7,-0.2,5,2.9,-1.6,False
6bba_1ebfb80d,6bba,47,48,3.7,0.1,3.7,-0.5,11,2.9,0.0,False
6bba_337b1b3a,6bba,2,3,3.7,-0.2,3.7,0.7,0,,,False
6bba_337b1b3a,6bba,19,20,3.7,0.3,3.7,0.6,1,4.3,1.6,False
6bba_337b1b3a,6bba,28,29,3.7,0.3,3.6,0.7,5,4.2,1.6,False
6bba_3db54e20,6bba,72,73,3.7,-0.4,3.4,1.4,9,4.0,-1.6,False
6bba_3db54e20,6bba,73,74,3.7,-0.2,3.6,0.3,10,4.6,-1.6,False
6bba_3db54e20,6bba,75,76,3.7,-0.2,3.5,1.3,11,4.3,-1.6,False
6bba_5a4d9360,6bba,7,8,3.7,-0.4,1.4,-3.4,4,4.1,-2.4,False
6bba_6feeb0b1,6bba,97,98,3.7,0.1,3.7,-0.3,16,2.2,0.0,False
6bba_767a1e17,6bba,5,6,3.7,0.3,-0.1,3.7,0,,,False
6bba_767a1e17,6bba,17,18,3.7,0.3,0.3,3.6,0,,,False
6bba_767a1e17,6bba,30,31,3.7,0.2,0.6,3.6,0,,,False
6bba_767a1e17,6bba,34,35,3.7,0.4,1.6,3.3,0,,,False
6bba_767a1e17,6bba,45,46,3.7,0.5,1.2,3.5,0,,,False
6bba_767a1e17,6bba,46,47,3.7,0.4,1.0,3.5,1,3.3,1.6,False
6bba_78a7bd97,6bba,50,51,3.7,-0.1,3.6,1.0,11,3.9,0.0,False
6bba_825bd1c6,6bba,70,71,3.7,1.4,3.4,0.0,10,3.1,1.6,False
6bba_87289e13,6bba,21,22,3.7,-0.2,-0.2,-3.7,8,4.4,-0.8,False
6bba_971fa5e0,6bba,30,31,3.7,-3.4,1.5,-0.1,8,3.4,-3.2,False
6bba_a5e926bb,6bba,20,21,3.7,-2.2,-0.4,-3.0,7,4.1,-3.2,False
6bba_a5e926bb,6bba,36,37,3.7,-2.1,-0.1,-3.1,13,3.3,-1.6,False
6bba_b693381b,6bba,10,11,3.7,0.2,-1.3,-3.4,14,3.9,0.0,False
6bba_cdcfe533,6bba,30,31,3.7,-0.1,3.6,0.2,10,3.2,0.0,False
6bba_d2b9fc0c,6bba,70,71,3.7,-1.5,-2.9,-1.8,9,2.7,0.0,False
6bba_d3da753b,6bba,70,71,3.7,-1.3,0.2,-3.4,7,4.4,-1.6,False
6bba_f17befbc,6bba,52,53,3.7,-0.1,-1.3,3.5,11,4.4,0.0,False
6bba_fe670320,6bba,29,30,3.7,-0.1,3.7,-0.1,12,4.1,0.0,False
6bba_fe670320,6bba,31,32,3.7,-0.1,3.7,0.3,11,3.3,0.0,False
44b6_267148e4,44b6,68,69,3.6,-0.1,2.6,2.5,3,4.0,0.0,False
44b6_33b596bf,44b6,9,10,3.6,-0.1,-3.5,-0.5,0,,,False
44b6_a21120c2,44b6,48,49,3.6,0.2,-0.2,3.6,2,3.6,0.8,False
44b6_c15fded2,44b6,7,8,3.6,0.2,-3.6,-0.5,0,,,False
44b6_cf8fed6b,44b6,22,23,3.6,-0.5,3.3,1.4,2,3.5,-2.4,False
44b6_d754aa59,44b6,10,11,3.6,-0.0,3.1,-1.7,1,1.5,0.0,True
44b6_d754aa59,44b6,44,45,3.6,0.1,3.5,0.9,1,3.1,0.0,True
44b6_e57ff5c6,44b6,0,1,3.6,-0.2,3.5,0.0,1,8.5,-6.5,True
6bba_0c7fa718,6bba,6,7,3.6,0.0,-1.2,-3.4,10,3.4,0.0,False
6bba_0c7fa718,6bba,7,8,3.6,0.2,-1.9,-3.0,11,3.3,0.0,False
6bba_0c7fa718,6bba,82,83,3.6,0.4,-2.6,-2.4,6,1.7,0.0,False
6bba_0e7c0d07,6bba,25,26,3.6,0.1,0.3,3.6,3,4.1,1.6,False
6bba_0e7c0d07,6bba,80,81,3.6,-0.0,2.9,2.1,2,4.4,-0.8,False
6bba_0e7c0d07,6bba,81,82,3.6,-0.0,2.9,2.2,2,4.3,0.0,False
6bba_12665c0e,6bba,76,77,3.6,-0.6,-0.3,-3.6,3,6.1,-4.9,False
6bba_1d0d8384,6bba,85,86,3.6,-0.4,3.6,-0.4,10,3.6,-1.6,False
6bba_15403b9a,6bba,11,12,3.6,-1.5,0.8,-3.2,10,3.4,-1.6,False
6bba_337b1b3a,6bba,17,18,3.6,0.1,3.5,0.5,0,,,False
6bba_3db54e20,6bba,41,42,3.6,-0.3,3.4,1.0,3,3.9,0.0,False
6bba_4f99ce20,6bba,2,3,3.6,0.3,-1.3,-3.3,11,3.6,0.0,False
6bba_67ebd073,6bba,18,19,3.6,-3.6,0.2,-0.1,3,3.4,-3.2,False
6bba_67ebd073,6bba,19,20,3.6,-3.6,0.2,0.0,3,4.9,-4.9,False
6bba_6ca87370,6bba,32,33,3.6,0.0,3.6,-0.1,9,2.8,0.0,False
6bba_6feeb0b1,6bba,14,15,3.6,-0.3,3.6,-0.2,11,2.8,0.0,False
6bba_767a1e17,6bba,21,22,3.6,0.3,0.4,3.5,0,,,False
6bba_789f8168,6bba,34,35,3.6,-0.0,-0.7,-3.5,7,4.2,0.0,False
6bba_789f8168,6bba,40,41,3.6,0.0,-0.6,-3.5,6,3.9,0.0,False
6bba_825bd1c6,6bba,25,26,3.6,0.0,3.6,0.2,5,2.4,0.0,False
6bba_87289e13,6bba,93,94,3.6,-0.6,3.6,0.0,6,4.2,-2.4,False
6bba_a5e926bb,6bba,46,47,3.6,-0.6,-0.2,-3.5,13,5.5,-3.2,False
6bba_acd782a8,6bba,78,79,3.6,-0.5,0.3,-3.6,2,5.5,-4.1,False
6bba_b329af44,6bba,17,18,3.6,-0.1,0.1,3.6,17,4.5,-1.6,False
6bba_b329af44,6bba,32,33,3.6,-0.1,-0.0,3.6,12,3.2,1.6,False
6bba_cdcfe533,6bba,26,27,3.6,0.3,3.4,-1.0,5,3.5,0.0,False
6bba_cdcfe533,6bba,32,33,3.6,0.0,3.6,0.3,10,3.9,0.0,False
6bba_d2b9fc0c,6bba,45,46,3.6,-1.5,-2.2,-2.4,8,4.3,-3.2,False
6bba_d2b9fc0c,6bba,61,62,3.6,-1.1,-2.9,-1.9,10,2.5,-1.6,False
6bba_d3da753b,6bba,64,65,3.6,-0.6,0.1,-3.5,11,4.3,-3.2,False
6bba_d3da753b,6bba,73,74,3.6,-0.8,1.4,-3.2,8,3.8,-1.6,False
6bba_e5e44988,6bba,67,68,3.6,-0.2,3.6,-0.3,7,3.7,-1.6,False
6bba_f20478e9,6bba,45,46,3.6,-0.2,-3.5,-0.6,9,3.5,0.0,False
44b6_267148e4,44b6,12,13,3.5,0.1,2.7,2.2,2,3.0,0.0,False
44b6_267148e4,44b6,14,15,3.5,-0.2,3.5,0.6,3,3.8,1.6,False
44b6_587a1e22,44b6,58,59,3.5,0.0,2.8,2.1,5,3.6,1.6,False
44b6_c15fded2,44b6,12,13,3.5,-0.3,-3.5,-0.3,0,,,False
44b6_c15fded2,44b6,25,26,3.5,1.7,3.0,0.1,2,4.2,2.4,False
44b6_d754aa59,44b6,56,57,3.5,-0.2,3.5,0.1,1,5.3,0.0,True
44b6_e29f0176,44b6,29,30,3.5,0.4,1.5,-3.2,0,,,False
6bba_0c7fa718,6bba,39,40,3.5,0.1,-0.4,-3.5,8,2.7,0.0,False
6bba_1d0d8384,6bba,80,81,3.5,-0.1,3.5,0.2,12,3.5,0.0,False
6bba_283bf9f1,6bba,51,52,3.5,-0.1,3.4,-0.8,10,4.7,-3.2,True
6bba_283bf9f1,6bba,61,62,3.5,-0.2,3.0,-1.8,12,2.7,0.0,True
6bba_337b1b3a,6bba,31,32,3.5,0.1,3.5,0.1,6,3.2,0.0,False
6bba_3db54e20,6bba,50,51,3.5,-0.2,3.5,0.4,4,4.2,-1.6,False
6bba_3db54e20,6bba,58,59,3.5,-0.3,3.4,0.9,0,,,False
6bba_48816121,6bba,96,97,3.5,-0.1,0.1,-3.5,8,3.5,0.0,False
6bba_5c824876,6bba,89,90,3.5,-0.0,-2.0,2.9,7,4.1,0.0,True
6bba_67ebd073,6bba,32,33,3.5,-3.5,0.1,-0.0,5,3.4,-3.2,False
6bba_6feeb0b1,6bba,35,36,3.5,0.1,3.5,-0.1,11,2.4,0.0,False
6bba_767a1e17,6bba,4,5,3.5,0.3,0.0,3.4,0,,,False
6bba_767a1e17,6bba,73,74,3.5,0.7,1.4,3.1,13,4.5,3.2,False
6bba_7f87b3d8,6bba,14,15,3.5,-0.4,-0.6,-3.4,3,3.4,-1.6,False
6bba_825bd1c6,6bba,43,44,3.5,0.1,3.5,0.3,11,3.0,0.0,False
6bba_a5e926bb,6bba,10,11,3.5,-2.9,-0.1,-1.9,5,3.9,-3.2,False
6bba_a5e926bb,6bba,51,52,3.5,-1.1,-0.3,-3.4,6,4.8,-3.2,False
6bba_acd782a8,6bba,76,77,3.5,-0.5,0.3,-3.4,3,4.4,-3.2,False
6bba_acd782a8,6bba,90,91,3.5,-0.5,0.3,-3.4,12,3.3,-1.6,False
6bba_b693381b,6bba,37,38,3.5,0.1,-1.8,-3.0,15,4.1,1.6,False
6bba_b693381b,6bba,51,52,3.5,0.2,-1.5,-3.2,9,3.4,1.6,False
6bba_cdcfe533,6bba,17,18,3.5,-0.1,3.5,0.3,0,,,False
6bba_cdcfe533,6bba,21,22,3.5,-0.0,3.5,-0.1,4,2.9,-0.8,False
6bba_cdcfe533,6bba,35,36,3.5,-0.2,3.4,-0.3,12,4.4,-1.6,False
6bba_cdcfe533,6bba,81,82,3.5,0.2,-2.8,-2.1,17,4.1,1.6,False
6bba_d2b9fc0c,6bba,44,45,3.5,-1.9,-2.2,-1.9,8,2.2,-1.6,False
6bba_d2b9fc0c,6bba,62,63,3.5,-1.4,-2.9,-1.4,10,2.3,0.0,False
6bba_cff5865f,6bba,1,2,3.5,0.6,3.2,1.2,0,,,False
6bba_d3da753b,6bba,9,10,3.5,-0.4,-1.6,-3.1,6,4.1,-1.6,False
6bba_d3da753b,6bba,10,11,3.5,-0.4,-1.2,-3.3,6,3.8,-0.8,False
6bba_d3da753b,6bba,67,68,3.5,-1.1,0.2,-3.3,9,3.3,-1.6,False
6bba_f8ffd5e7,6bba,58,59,3.5,0.1,-3.2,1.4,2,4.9,0.8,False
44b6_0113de3b,44b6,87,88,3.4,2.9,-0.1,1.7,0,,,False
44b6_267148e4,44b6,11,12,3.4,-0.3,3.1,1.3,2,3.9,-0.8,False
44b6_267148e4,44b6,49,50,3.4,-0.3,1.7,2.9,3,3.9,-1.6,False
44b6_267148e4,44b6,53,54,3.4,-0.2,1.8,2.9,3,3.3,0.0,False
44b6_587a1e22,44b6,54,55,3.4,0.7,-3.3,-0.2,6,4.1,2.4,False
44b6_c15fded2,44b6,18,19,3.4,-0.0,-3.4,-0.2,0,,,False
44b6_c15fded2,44b6,33,34,3.4,0.1,-3.1,-1.3,2,3.7,0.0,False
44b6_d78e09d9,44b6,13,14,3.4,0.1,0.2,3.4,4,3.4,0.0,False
44b6_e29f0176,44b6,2,3,3.4,0.2,-3.3,0.3,0,,,False
44b6_f28707c6,44b6,29,30,3.4,0.0,-3.4,-0.1,1,2.9,1.6,False
44b6_f28707c6,44b6,46,47,3.4,0.1,-3.3,-0.4,1,4.6,0.0,False
44b6_f28707c6,44b6,52,53,3.4,0.1,-3.4,-0.5,1,6.6,4.9,False
6bba_05db0fb1,6bba,30,31,3.4,-0.2,-0.2,3.3,16,2.6,-0.8,False
6bba_0c7fa718,6bba,57,58,3.4,0.2,-0.8,-3.3,8,3.1,0.0,False
6bba_1d0d8384,6bba,82,83,3.4,0.1,3.4,0.4,9,2.9,0.0,False
6bba_15403b9a,6bba,2,3,3.4,-0.2,-0.1,-3.4,6,3.1,-0.8,False
6bba_283bf9f1,6bba,35,36,3.4,-0.1,2.9,-1.6,11,2.3,-1.6,True
6bba_283bf9f1,6bba,57,58,3.4,-0.0,3.4,-0.2,11,2.4,0.0,True
6bba_283bf9f1,6bba,58,59,3.4,0.0,3.4,-0.3,11,3.0,0.0,True
6bba_337b1b3a,6bba,29,30,3.4,0.4,3.3,0.3,6,4.1,1.6,False
6bba_3db54e20,6bba,32,33,3.4,0.1,3.4,0.2,4,3.7,0.0,False
6bba_5a4d9360,6bba,25,26,3.4,-0.3,1.7,-3.0,7,3.6,-1.6,False
6bba_767a1e17,6bba,14,15,3.4,0.4,1.0,3.3,0,,,False
6bba_767a1e17,6bba,35,36,3.4,0.2,1.0,3.2,0,,,False
6bba_767a1e17,6bba,43,44,3.4,0.3,1.1,3.2,0,,,False
6bba_767a1e17,6bba,70,71,3.4,0.6,1.7,2.9,11,3.2,1.6,False
6bba_767a1e17,6bba,72,73,3.4,0.6,1.5,3.0,14,3.7,1.6,False
6bba_767a1e17,6bba,87,88,3.4,0.4,1.3,3.1,24,4.4,3.2,False
6bba_786893ac,6bba,47,48,3.4,-0.3,-3.2,1.1,12,3.6,1.6,False
6bba_789f8168,6bba,25,26,3.4,0.1,-1.3,-3.1,12,3.1,0.0,False
6bba_78a7bd97,6bba,58,59,3.4,0.1,3.3,0.4,6,3.4,0.0,False
6bba_78a7bd97,6bba,64,65,3.4,0.2,3.4,0.3,10,3.3,1.6,False
6bba_7f87b3d8,6bba,25,26,3.4,-0.6,-0.6,-3.3,12,3.8,-1.6,False
6bba_7f87b3d8,6bba,28,29,3.4,-0.5,-0.3,-3.4,17,3.5,-1.6,False
6bba_7f87b3d8,6bba,74,75,3.4,-1.6,-3.0,-0.2,6,2.8,-1.6,False
6bba_b329af44,6bba,7,8,3.4,0.1,-0.3,3.4,18,2.3,0.0,False
6bba_b329af44,6bba,24,25,3.4,0.0,-0.0,3.4,17,3.3,1.6,False
6bba_c328f2fd,6bba,13,14,3.4,-0.2,-3.4,-0.3,2,7.8,-4.1,True
6bba_c328f2fd,6bba,23,24,3.4,-0.3,-3.2,-1.1,3,8.1,-4.9,True
6bba_cdcfe533,6bba,18,19,3.4,0.0,3.4,0.1,1,3.3,0.0,False
6bba_cdcfe533,6bba,23,24,3.4,0.3,3.4,0.0,4,3.4,0.0,False
6bba_cdcfe533,6bba,25,26,3.4,0.2,3.4,-0.4,5,3.0,0.0,False
6bba_d2b9fc0c,6bba,65,66,3.4,-0.9,-3.0,-1.2,8,2.9,-1.6,False
6bba_d2b9fc0c,6bba,66,67,3.4,-0.9,-2.7,-1.9,8,2.2,-0.8,False
6bba_d2b9fc0c,6bba,88,89,3.4,-0.2,-3.4,-0.2,12,2.8,0.0,False
6bba_d2b9fc0c,6bba,95,96,3.4,-0.2,-3.3,0.7,11,4.0,0.0,False
6bba_d3da753b,6bba,46,47,3.4,-0.6,0.2,-3.4,9,3.7,-1.6,False
6bba_d3da753b,6bba,69,70,3.4,-0.5,0.1,-3.3,7,3.3,-1.6,False
6bba_e5e44988,6bba,45,46,3.4,-0.2,3.4,-0.5,7,4.2,-1.6,False
6bba_e5e44988,6bba,47,48,3.4,-0.2,3.4,-0.3,7,3.7,0.0,False
6bba_e5e44988,6bba,68,69,3.4,-0.3,3.4,-0.1,7,3.4,-1.6,False
6bba_e5e44988,6bba,70,71,3.4,-0.3,3.4,-0.1,7,3.2,0.0,False
6bba_debd7bfa,6bba,50,51,3.4,-0.5,-0.1,-3.3,6,4.1,-2.4,False
6bba_debd7bfa,6bba,53,54,3.4,-0.6,0.4,-3.3,5,4.1,-1.6,False
6bba_f20478e9,6bba,5,6,3.4,-0.8,-1.2,-3.1,7,3.2,-1.6,False
6bba_fc5f39dc,6bba,90,91,3.4,-0.3,0.3,-3.4,5,4.1,-1.6,False
6bba_fe670320,6bba,52,53,3.4,-0.0,3.4,0.5,4,4.3,-1.6,False
44b6_0db75fae,44b6,8,9,3.3,0.1,1.7,2.8,2,4.0,0.0,False
44b6_24264f12,44b6,40,41,3.3,0.2,0.0,3.3,4,4.0,1.6,False
44b6_267148e4,44b6,38,39,3.3,-0.1,3.2,0.8,3,3.9,-1.6,False
44b6_267148e4,44b6,50,51,3.3,-0.1,1.6,2.9,3,3.5,0.0,False
44b6_33b596bf,44b6,3,4,3.3,-0.2,-3.3,-0.2,0,,,False
44b6_668e0cc7,44b6,18,19,3.3,-0.0,-0.5,3.3,5,4.5,0.0,False
44b6_c15fded2,44b6,51,52,3.3,-0.1,-3.2,-0.6,2,3.7,-0.8,False
44b6_d29c9ab2,44b6,8,9,3.3,-0.0,3.1,-1.1,12,3.8,0.0,False
44b6_d754aa59,44b6,28,29,3.3,0.0,3.3,-0.2,1,3.3,-1.6,True
44b6_d78e09d9,44b6,15,16,3.3,0.0,0.4,3.3,5,3.3,0.0,False
44b6_d78e09d9,44b6,23,24,3.3,0.1,1.7,2.9,6,4.2,0.0,False
6bba_062c8d37,6bba,10,11,3.3,0.3,-0.9,-3.2,10,3.6,1.6,False
6bba_0c7fa718,6bba,42,43,3.3,0.6,-0.9,-3.1,10,4.4,1.6,False
6bba_0c7fa718,6bba,52,53,3.3,0.4,-0.9,-3.2,4,3.1,0.0,False
6bba_09961292,6bba,25,26,3.3,-0.2,2.3,2.4,24,3.0,0.0,False
6bba_0e7c0d07,6bba,39,40,3.3,0.3,1.3,3.0,2,4.2,1.6,False
6bba_0e7c0d07,6bba,42,43,3.3,0.1,1.5,3.0,2,2.9,0.8,False
6bba_12665c0e,6bba,81,82,3.3,-0.4,-1.0,-3.1,5,3.5,-1.6,False
6bba_283bf9f1,6bba,55,56,3.3,-0.1,3.2,-0.8,11,2.7,-1.6,True
6bba_283bf9f1,6bba,95,96,3.3,-0.6,0.3,-3.2,16,3.6,-1.6,True
6bba_337b1b3a,6bba,30,31,3.3,0.1,2.8,1.7,6,3.6,0.0,False
6bba_337b1b3a,6bba,32,33,3.3,0.2,3.1,1.1,7,3.1,0.0,False
6bba_337b1b3a,6bba,33,34,3.3,0.2,3.3,0.5,7,3.7,1.6,False
6bba_3abfe10a,6bba,7,8,3.3,0.1,-0.0,3.3,0,,,True
6bba_3db54e20,6bba,31,32,3.3,-0.1,3.2,0.3,4,3.5,-1.6,False
6bba_3db54e20,6bba,33,34,3.3,0.1,3.3,0.4,3,4.7,-1.6,False
6bba_3db54e20,6bba,60,61,3.3,-0.3,3.0,1.3,1,4.2,0.0,False
6bba_3db54e20,6bba,76,77,3.3,-0.3,3.0,1.5,11,3.8,-1.6,False
6bba_5a4d9360,6bba,0,1,3.3,-0.1,0.7,-3.2,3,2.7,0.0,False
6bba_5b28472a,6bba,60,61,3.3,-0.0,-0.2,-3.3,7,4.3,3.2,False
6bba_5c039895,6bba,32,33,3.3,-0.3,-3.3,-0.3,12,2.4,0.0,False
6bba_67ebd073,6bba,17,18,3.3,-3.3,0.2,0.1,1,5.0,-4.9,False
6bba_6479435d,6bba,46,47,3.3,-3.3,-0.1,0.2,0,,,False
6bba_6db0e9b4,6bba,2,3,3.3,-1.0,2.8,1.5,0,,,False
6bba_6db0e9b4,6bba,5,6,3.3,-0.5,3.2,0.4,0,,,False
6bba_6feeb0b1,6bba,71,72,3.3,0.4,3.3,-0.0,15,2.8,0.0,False
6bba_767a1e17,6bba,22,23,3.3,0.3,0.6,3.2,0,,,False
6bba_789f8168,6bba,41,42,3.3,-0.2,-0.5,-3.2,5,3.5,0.0,False
6bba_78a7bd97,6bba,57,58,3.3,-0.0,3.1,1.2,9,3.5,0.0,False
6bba_825bd1c6,6bba,29,30,3.3,-0.0,3.3,0.3,7,3.0,0.0,False
6bba_825bd1c6,6bba,56,57,3.3,0.1,2.9,1.6,16,3.0,0.0,False
6bba_87289e13,6bba,26,27,3.3,-0.2,-1.4,-2.9,9,3.6,0.0,False
6bba_87289e13,6bba,48,49,3.3,-0.6,-0.4,-3.2,10,3.8,-1.6,False
6bba_971fa5e0,6bba,6,7,3.3,-0.3,0.3,-3.2,8,3.5,-1.6,False
6bba_971fa5e0,6bba,31,32,3.3,-3.0,1.5,-0.2,8,2.0,-1.6,False
6bba_a5e926bb,6bba,52,53,3.3,-0.7,-0.5,-3.1,5,3.7,-1.6,False
6bba_acd782a8,6bba,80,81,3.3,-0.3,0.2,-3.2,4,3.2,-0.8,False
6bba_bb9f20c3,6bba,59,60,3.3,-1.2,3.1,0.3,19,3.0,-1.6,False
6bba_cdcfe533,6bba,33,34,3.3,0.2,3.3,0.0,11,3.3,0.0,False
6bba_cff5865f,6bba,87,88,3.3,-0.2,-0.4,-3.3,14,3.8,-0.8,False
6bba_d3da753b,6bba,13,14,3.3,-0.2,-0.7,-3.2,8,3.4,0.0,False
6bba_d3da753b,6bba,22,23,3.3,-1.3,-0.1,-3.1,8,3.6,-1.6,False
6bba_d3da753b,6bba,37,38,3.3,-0.5,-0.1,-3.3,12,4.0,-1.6,False
6bba_d3da753b,6bba,45,46,3.3,-0.5,-0.0,-3.2,9,3.6,-1.6,False
6bba_e5e44988,6bba,11,12,3.3,-0.2,3.3,-0.2,9,4.8,-1.6,False
6bba_e5e44988,6bba,56,57,3.3,-0.5,3.3,-0.2,6,3.7,-1.6,False
6bba_eebc57a5,6bba,61,62,3.3,0.1,3.3,0.2,10,1.5,0.0,False
6bba_f20478e9,6bba,36,37,3.3,-0.2,-3.3,-0.6,13,3.4,0.0,False
6bba_fe670320,6bba,35,36,3.3,-0.0,3.3,0.1,7,3.7,0.0,False
6bba_fe670320,6bba,37,38,3.3,0.0,3.3,-0.0,7,2.5,0.0,False
6bba_fe670320,6bba,44,45,3.3,-0.1,3.3,0.2,3,4.8,-1.6,False
44b6_0db75fae,44b6,22,23,3.2,0.1,0.5,3.1,1,3.7,0.0,False
44b6_587a1e22,44b6,40,41,3.2,0.7,3.1,0.1,6,5.0,3.2,False
44b6_a21120c2,44b6,19,20,3.2,0.3,-0.2,3.2,5,3.7,0.0,False
44b6_a21120c2,44b6,34,35,3.2,0.3,-0.5,3.1,3,3.9,0.0,False
44b6_cf8fed6b,44b6,23,24,3.2,-0.1,3.2,-0.3,2,2.5,-0.8,False
44b6_cf8fed6b,44b6,52,53,3.2,-0.0,3.2,0.4,2,3.0,-0.8,False
44b6_d754aa59,44b6,1,2,3.2,-0.1,3.0,-1.1,0,,,True
44b6_d754aa59,44b6,22,23,3.2,-0.2,3.2,-0.2,1,3.3,-1.6,True
44b6_d754aa59,44b6,57,58,3.2,-0.0,3.2,-0.0,1,4.2,1.6,True
44b6_d754aa59,44b6,59,60,3.2,-0.1,2.9,-1.3,1,3.6,0.0,True
44b6_d78e09d9,44b6,42,43,3.2,0.2,-0.0,3.1,5,3.6,1.6,False
44b6_f28707c6,44b6,88,89,3.2,-0.2,3.2,-0.5,0,,,False
6bba_05db0fb1,6bba,50,51,3.2,-0.0,-0.2,3.2,15,2.4,0.0,False
6bba_0c7fa718,6bba,5,6,3.2,0.4,-1.4,-2.8,10,3.8,1.6,False
6bba_0c7fa718,6bba,9,10,3.2,0.2,-1.8,-2.7,11,3.3,0.0,False
